央视频道,#genre#
黑龙江卫视,http://123.10.78.233:808/hls/45/index.m3u8
其他频道,#genre#
CETV1,http://1.24.190.134:10080/hls/17/index.m3u8
CETV2,http://1.24.190.134:10080/hls/18/index.m3u8
CETV4,http://1.24.190.134:10080/hls/19/index.m3u8
中国教育4,http://123.10.77.236:808/hls/68/index.m3u8
CGTN,http://123.10.77.236:808/hls/16/index.m3u8
CGTN,http://123.10.78.233:808/hls/16/index.m3u8
CGTN,http://222.219.183.103:8089/hls/18/index.m3u8
CGTNEnglish,http://1.24.190.134:10080/hls/20/index.m3u8
CHC家庭影院,http://60.16.18.243:4949/hls/29/index.m3u8
CHC电影,http://60.16.18.243:4949/hls/28/index.m3u8
IPTV法制,http://123.10.78.233:808/hls/83/index.m3u8
IPTV法制,http://123.10.77.30:808/hls/83/index.m3u8
IPTV法制,http://123.10.77.236:808/hls/83/index.m3u8
IPTV法制,http://1.24.190.134:10080/hls/133/index.m3u8
IPTV相声,http://123.10.78.233:808/hls/81/index.m3u8
IPTV相声,http://123.10.77.236:808/hls/81/index.m3u8
优漫卡通,http://58.17.48.228:808/hls/40/index.m3u8
内蒙古农牧,http://1.183.141.194:8001/hls/18/index.m3u8
内蒙古农牧,http://1.24.190.134:10080/hls/35/index.m3u8
内蒙古少儿,http://1.24.190.134:10080/hls/36/index.m3u8
内蒙古文体娱乐,http://1.24.190.134:10080/hls/33/index.m3u8
内蒙古新闻综合,http://1.24.190.134:10080/hls/32/index.m3u8
内蒙古经济生活,http://1.183.141.194:8001/hls/20/index.m3u8
